Algorithm,Seed,Return,waiting_list,queue_list,speed_list,Actor loss,Critic loss,VAE loss,Log time
IPPO,43,-72.91249999999998,50388.0,784,1.9441839619515204,-0.004722466702503425,1.361809421145881,,05-20 01:13:09
IPPO,43,-71.41437499999996,44663.0,789,1.877544107209086,-0.004722466702503425,1.361809421145881,,05-20 01:17:42
IPPO,43,-56.172499999999964,38135.0,793,1.727593741893515,-0.004722466702503425,1.361809421145881,,05-20 01:22:13
IPPO,43,-120.86125000000003,116782.0,1016,1.4637520333320357,-0.004722466702503425,1.361809421145881,,05-20 01:27:01
IPPO,43,-16.116875000000004,12420.0,409,3.346676410193667,-0.004722466702503425,1.361809421145881,,05-20 01:31:11
IPPO,43,-46.48437499999995,46992.0,641,2.42535470360892,-0.004722466702503425,1.361809421145881,,05-20 01:35:42
IPPO,43,-26.742500000000017,23954.0,511,2.808586205225202,-0.004722466702503425,1.361809421145881,,05-20 01:39:39
IPPO,43,-100.81937500000005,140484.0,826,1.8901822918295863,-0.004722466702503425,1.361809421145881,,05-20 01:44:03
IPPO,43,-73.53624999999992,66202.0,847,1.592894933662011,-0.004722466702503425,1.361809421145881,,05-20 01:48:16
IPPO,43,-15.451874999999998,11001.0,374,3.9140835357245423,-0.004722466702503425,1.361809421145881,,05-20 01:52:11
IPPO,43,-24.956874999999986,14975.0,498,2.614331836550375,-0.004722466702503425,1.361809421145881,,05-20 01:55:58
IPPO,43,-15.256875000000004,11483.0,362,3.5625402740504204,-0.004722466702503425,1.361809421145881,,05-20 01:59:43
IPPO,43,-13.533125,7576.0,322,3.7787214393981747,-0.004722466702503425,1.361809421145881,,05-20 02:03:16
IPPO,43,-7.104374999999985,7558.0,245,4.732630294747297,-0.004722466702503425,1.361809421145881,,05-20 02:06:44
IPPO,43,-9.962499999999995,8878.0,309,4.029524163429871,-0.004722466702503425,1.361809421145881,,05-20 02:10:11
IPPO,43,-11.532499999999999,5699.0,292,3.977962330681674,-0.004722466702503425,1.361809421145881,,05-20 02:13:34
IPPO,43,-7.241874999999999,4746.0,225,4.650750567878651,-0.004722466702503425,1.361809421145881,,05-20 02:16:54
IPPO,43,-8.125624999999992,7849.0,278,4.097429933682286,-0.004722466702503425,1.361809421145881,,05-20 02:20:01
IPPO,43,-8.581249999999985,9170.0,288,3.852560315263205,-0.004722466702503425,1.361809421145881,,05-20 02:23:08
IPPO,43,-5.290624999999993,4460.0,219,4.788894501155662,-0.004722466702503425,1.361809421145881,,05-20 02:26:12
IPPO,43,-5.0712500000000045,4145.0,209,5.213522006334892,-0.004722466702503425,1.361809421145881,,05-20 02:29:11
IPPO,43,-4.63625,5302.0,238,4.605916194127673,-0.004722466702503425,1.361809421145881,,05-20 02:32:06
IPPO,43,-6.713125000000002,7479.0,234,4.427020932241135,-0.004722466702503425,1.361809421145881,,05-20 02:35:04
IPPO,43,-2.6981249999999988,2986.0,169,5.403926723674993,-0.004722466702503425,1.361809421145881,,05-20 02:37:55
IPPO,43,-4.470625000000009,5102.0,201,5.036713465311836,-0.004722466702503425,1.361809421145881,,05-20 02:40:43
IPPO,43,-9.367499999999998,8620.0,210,4.688038549854823,-0.004722466702503425,1.361809421145881,,05-20 02:43:32
IPPO,43,-2.5799999999999996,2742.0,156,6.0920100605842995,-0.004722466702503425,1.361809421145881,,05-20 02:46:17
IPPO,43,-3.031874999999998,2716.0,165,5.171729786228051,-0.004722466702503425,1.361809421145881,,05-20 02:49:02
IPPO,43,-3.5468749999999982,2973.0,178,5.186678736272931,-0.004722466702503425,1.361809421145881,,05-20 02:51:44
IPPO,43,-5.768125,5046.0,239,4.280104475141349,-0.004722466702503425,1.361809421145881,,05-20 02:54:37
IPPO,43,-3.955000000000003,4692.0,169,5.3080162188598985,-0.004722466702503425,1.361809421145881,,05-20 02:57:15
IPPO,43,-2.5693749999999977,2410.0,136,5.7763307874966285,-0.004722466702503425,1.361809421145881,,05-20 03:00:00
IPPO,43,-2.126250000000001,2378.0,139,5.571087029374423,-0.004722466702503425,1.361809421145881,,05-20 03:02:31
IPPO,43,-2.5243749999999965,2464.0,143,6.2128115013418945,-0.004722466702503425,1.361809421145881,,05-20 03:05:13
IPPO,43,-2.279375000000003,2002.0,136,5.938486252042465,-0.004722466702503425,1.361809421145881,,05-20 03:07:49
IPPO,43,-2.0374999999999996,2020.0,130,5.83218232105828,-0.004722466702503425,1.361809421145881,,05-20 03:10:23
IPPO,43,-1.6112500000000018,1817.0,133,5.934983670678814,-0.004722466702503425,1.361809421145881,,05-20 03:12:55
IPPO,43,-1.8081250000000033,1867.0,128,6.364211974324244,-0.004722466702503425,1.361809421145881,,05-20 03:15:31
IPPO,43,-3.8149999999999964,5438.0,161,5.879611907220626,-0.004722466702503425,1.361809421145881,,05-20 03:18:05
IPPO,43,-1.636875000000001,1536.0,99,6.441354406777736,-0.004722466702503425,1.361809421145881,,05-20 03:20:33
IPPO,43,-3.981249999999997,5143.0,170,5.056233114476591,-0.004722466702503425,1.361809421145881,,05-20 03:23:06
IPPO,43,-1.5343750000000014,1202.0,108,5.9573864236055,-0.004722466702503425,1.361809421145881,,05-20 03:25:36
IPPO,43,-1.6143750000000006,1635.0,116,6.3956857027554355,-0.004722466702503425,1.361809421145881,,05-20 03:28:09
IPPO,43,-2.2525000000000004,2205.0,145,5.634606274284349,-0.004722466702503425,1.361809421145881,,05-20 03:30:40
IPPO,43,-1.50125,1906.0,104,6.609574202659514,-0.004722466702503425,1.361809421145881,,05-20 03:33:05
IPPO,43,-1.9006250000000016,1829.0,137,5.609280845852427,-0.004722466702503425,1.361809421145881,,05-20 03:35:34
